image_file,Aesthetic,Happy,Natural,New,Scary,Complex
0000.jpg,0.7402344,0.5234375,0.97216797,0.36669922,0.31396484,0.7705078
0001.jpg,0.44360352,0.062805176,0.7324219,0.23095703,0.32080078,0.8154297
0002.jpg,0.7026367,0.36669922,0.94189453,0.5058594,0.47851562,0.8154297
0003.jpg,0.55078125,0.5097656,0.8642578,0.2861328,0.7734375,0.32250977
0004.jpg,0.59472656,0.21203613,0.8105469,0.22265625,0.70410156,0.81884766
0005.jpg,0.79052734,0.54296875,0.92578125,0.43017578,0.796875,0.4111328
0006.jpg,0.70410156,0.69091797,0.87646484,0.42822266,0.75927734,0.6689453
0007.jpg,0.8310547,0.79589844,0.78125,0.29907227,0.46289062,0.27197266
0008.jpg,0.51953125,0.25830078,0.9355469,0.34326172,0.14038086,0.69091797
0009.jpg,0.5175781,0.39990234,0.9790039,0.27661133,0.2705078,0.5332031
0010.jpg,0.58691406,0.07006836,0.66015625,0.2861328,0.84472656,0.83447266
0011.jpg,0.6772461,0.54296875,0.9013672,0.43969727,0.27514648,0.21606445
0012.jpg,0.6245117,0.29907227,0.88427734,0.34521484,0.8232422,0.92578125
0013.jpg,0.5058594,0.051452637,0.5756836,0.21203613,0.99560547,0.85595703
0014.jpg,0.53515625,0.22546387,0.9321289,0.22546387,0.8457031,0.6152344
0015.jpg,0.48242188,0.609375,0.45141602,0.11920166,0.23095703,0.109680176
0016.jpg,0.6166992,0.29101562,0.48828125,0.3503418,0.96728516,0.7026367
0017.jpg,0.39233398,0.09466553,0.87402344,0.3540039,0.96972656,0.7475586
0018.jpg,0.66552734,0.8222656,0.98828125,0.43774414,0.20056152,0.35229492
0019.jpg,0.3557129,0.025756836,0.2524414,0.12854004,0.9975586,0.77441406
0020.jpg,0.5776367,0.062316895,0.5136719,0.1394043,0.5410156,0.6166992
0021.jpg,0.63720703,0.6166992,0.96777344,0.2055664,0.07366943,0.33447266
0022.jpg,0.6875,0.08331299,0.83203125,0.18481445,0.5488281,0.81396484
0023.jpg,0.58496094,0.43969727,0.66552734,0.31567383,0.9580078,0.7373047
0024.jpg,0.60009766,0.68066406,0.57958984,0.5830078,0.99072266,0.86621094
0025.jpg,0.42626953,0.10821533,0.9863281,0.29736328,0.7607422,0.13122559
0026.jpg,0.40551758,0.3684082,0.7788086,0.3684082,0.9355469,0.4921875
0027.jpg,0.56396484,0.09075928,0.94677734,0.18591309,0.7636719,0.4243164
0028.jpg,0.85498047,0.45141602,0.6279297,0.28295898,0.049957275,0.2133789
0029.jpg,0.52734375,0.27368164,0.8984375,0.5175781,0.53515625,0.87158203
0030.jpg,0.63183594,0.20690918,0.95996094,0.25683594,0.30078125,0.83984375
0031.jpg,0.59277344,0.5390625,0.98095703,0.26123047,0.28466797,0.6533203
0032.jpg,0.65478516,0.640625,0.9482422,0.4243164,0.19812012,0.12084961
0033.jpg,0.71533203,0.44750977,0.8540039,0.38867188,0.51171875,0.33276367
0034.jpg,0.3486328,0.359375,0.74316406,0.22949219,0.9482422,0.9223633
0035.jpg,0.515625,0.62597656,0.77978516,0.27197266,0.8198242,0.34521484
0036.jpg,0.7324219,0.39038086,0.3737793,0.29248047,0.99365234,0.77441406
0037.jpg,0.6333008,0.59277344,0.97314453,0.22546387,0.2133789,0.7475586
0038.jpg,0.5019531,0.16027832,0.8129883,0.15917969,0.6040039,0.63183594
0039.jpg,0.56396484,0.66015625,0.78808594,0.3486328,0.98291016,0.67578125
0040.jpg,0.59472656,0.1159668,0.93359375,0.18591309,0.49023438,0.84472656
0041.jpg,0.51953125,0.41870117,0.43579102,0.36669922,0.98095703,0.6533203
0042.jpg,0.6166992,0.4416504,0.83203125,0.44555664,0.88183594,0.4609375
0043.jpg,0.5332031,0.027175903,0.7265625,0.22680664,0.9345703,0.7373047
0044.jpg,0.6459961,0.41674805,0.8598633,0.39233398,0.8588867,0.18713379
0045.jpg,0.3557129,0.80566406,0.8955078,0.24938965,0.92871094,0.90185547
0046.jpg,0.43408203,0.02017212,0.3557129,0.15002441,0.99658203,0.9003906
0047.jpg,0.6113281,0.072631836,0.9746094,0.32592773,0.75927734,0.8129883
0048.jpg,0.56396484,0.2878418,0.9848633,0.32763672,0.29418945,0.32763672
0049.jpg,0.46875,0.03567505,0.86621094,0.31225586,0.5136719,0.8173828
0050.jpg,0.6738281,0.59277344,0.38110352,0.33642578,0.9243164,0.6635742
0051.jpg,0.6074219,0.047424316,0.77734375,0.27368164,0.82666016,0.16882324
0052.jpg,0.79833984,0.79052734,0.7167969,0.5546875,0.012924194,0.2421875
0053.jpg,0.49804688,0.2783203,0.8198242,0.12939453,0.9667969,0.6738281
0054.jpg,0.5390625,0.7138672,0.9580078,0.45507812,0.73583984,0.5410156
0055.jpg,0.63183594,0.062316895,0.9326172,0.20812988,0.8173828,0.7866211
0056.jpg,0.48828125,0.6333008,0.89160156,0.15002441,0.9682617,0.79296875
0057.jpg,0.56591797,0.16882324,0.86083984,0.21203613,0.36108398,0.4243164
0058.jpg,0.60595703,0.8173828,0.9609375,0.359375,0.7446289,0.5078125
0059.jpg,0.57958984,0.24658203,0.28466797,0.22546387,0.46484375,0.6669922
0060.jpg,0.41674805,0.46484375,0.7167969,0.13574219,0.9970703,0.9091797
0061.jpg,0.58691406,0.036224365,0.88623047,0.2199707,0.6040039,0.7758789
0062.jpg,0.55810547,0.099487305,0.86621094,0.2705078,0.8911133,0.46875
0063.jpg,0.5488281,0.12249756,0.65478516,0.55078125,0.97998047,0.6386719
0064.jpg,0.8276367,0.22399902,0.31225586,0.45336914,0.8105469,0.7167969
0065.jpg,0.484375,0.059661865,0.40551758,0.08270264,0.9248047,0.79589844
0066.jpg,0.45703125,0.2783203,0.5698242,0.07861328,0.6074219,0.71240234
0067.jpg,0.5698242,0.6074219,0.953125,0.47265625,0.30395508,0.8925781
0068.jpg,0.6352539,0.0803833,0.70751953,0.26586914,0.8808594,0.75927734
0069.jpg,0.48242188,0.30737305,0.87158203,0.50390625,0.60009766,0.36669922
0070.jpg,0.609375,0.72314453,0.8208008,0.06854248,0.6875,0.7216797
0071.jpg,0.39233398,0.20947266,0.32250977,0.23095703,0.9794922,0.68603516
0072.jpg,0.8208008,0.6928711,0.80322266,0.28466797,0.2055664,0.3942871
0073.jpg,0.640625,0.1895752,0.5600586,0.4091797,0.94677734,0.68066406
0074.jpg,0.66552734,0.6723633,0.94873047,0.6074219,0.32763672,0.7866211
0075.jpg,0.32250977,0.26733398,0.97753906,0.29101562,0.7026367,0.33642578
0076.jpg,0.49804688,0.0390625,0.7338867,0.09875488,0.9863281,0.6152344
0077.jpg,0.64404297,0.88964844,0.79833984,0.49609375,0.46679688,0.6040039
0078.jpg,0.6074219,0.8017578,0.3647461,0.49023438,0.7026367,0.6669922
0079.jpg,0.47265625,0.89697266,0.6621094,0.5678711,0.84472656,0.6245117
0080.jpg,0.47265625,0.65478516,0.9536133,0.18005371,0.9116211,0.39038086
0081.jpg,0.5600586,0.55810547,0.9111328,0.2783203,0.7944336,0.72802734
0082.jpg,0.64404297,0.23376465,0.26904297,0.5078125,0.4243164,0.7636719
0083.jpg,0.4765625,0.15002441,0.4321289,0.38671875,0.7758789,0.6582031
0084.jpg,0.5097656,0.027175903,0.87890625,0.18481445,0.113586426,0.8652344
0085.jpg,0.49023438,0.50390625,0.9423828,0.18481445,0.9248047,0.7138672
0086.jpg,0.56396484,0.57373047,0.9794922,0.26586914,0.27661133,0.5410156
0087.jpg,0.52734375,0.22546387,0.9091797,0.24658203,0.17443848,0.80566406
0088.jpg,0.5961914,0.08758545,0.57373047,0.43579102,0.5253906,0.8491211
0089.jpg,0.7167969,0.8208008,0.9345703,0.30249023,0.6635742,0.26733398
0090.jpg,0.6689453,0.5078125,0.87646484,0.35229492,0.9638672,0.5390625
0091.jpg,0.6152344,0.49804688,0.23376465,0.41674805,0.9863281,0.66015625
0092.jpg,0.55810547,0.5830078,0.8520508,0.41479492,0.7167969,0.5961914
0093.jpg,0.4494629,0.33276367,0.1394043,0.20178223,0.9980469,0.94091797
0094.jpg,0.6875,0.7734375,0.5566406,0.32080078,0.9560547,0.47070312
0095.jpg,0.7324219,0.5058594,0.6113281,0.45703125,0.7705078,0.8232422
0096.jpg,0.6074219,0.74316406,0.47070312,0.3540039,0.9770508,0.81884766
0097.jpg,0.59277344,0.035949707,0.82666016,0.19677734,0.9057617,0.7324219
0098.jpg,0.45507812,0.38671875,0.8823242,0.31396484,0.8208008,0.8510742
0099.jpg,0.79296875,0.11437988,0.87890625,0.16455078,0.76220703,0.86816406
